molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,bioactivity_class,MW,LogP,HBD,HBA
CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,100000.0,nM,,inactive,442.5150000000004,5.079000000000003,3.0,3.0
CHEMBL328029,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,nM,,inactive,264.328,3.3862000000000023,2.0,1.0
CHEMBL314995,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,100000.0,nM,,inactive,415.2870000000002,4.165900000000002,3.0,2.0
CHEMBL88483,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,100000.0,nM,,inactive,343.4080000000002,2.0336000000000003,3.0,3.0
CHEMBL313746,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,nM,,inactive,340.4260000000002,5.053200000000004,2.0,1.0
CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,100000.0,nM,,inactive,296.326,2.8330200000000003,3.0,2.0
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,100000.0,nM,,inactive,238.29000000000002,3.1242400000000004,2.0,1.0
CHEMBL313500,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,100000.0,nM,,inactive,370.45200000000017,5.061800000000003,2.0,2.0
CHEMBL89010,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,nM,,inactive,308.33700000000016,3.0844000000000014,3.0,2.0
CHEMBL86531,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,29100.0,nM,4.54,inactive,415.4710000000003,2.0508,4.0,4.0
CHEMBL315753,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,100000.0,nM,,inactive,336.39100000000025,3.403400000000002,3.0,2.0
CHEMBL88606,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,nM,,inactive,343.22400000000016,4.1487000000000025,2.0,1.0
CHEMBL313821,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,nM,,inactive,442.5150000000004,5.079000000000003,3.0,3.0
CHEMBL266969,O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,50000.0,nM,,inactive,341.45500000000015,4.059400000000003,3.0,4.0
CHEMBL138691,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,nM,8.38,active,441.3330000000001,3.6115000000000013,1.0,6.0
CHEMBL52829,Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.0,nM,8.40,active,280.33500000000004,2.53782,1.0,6.0
CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,380.0,nM,6.42,active,271.71100000000007,3.1252200000000014,1.0,5.0
